measure,hazard,haz_type,x_ent,m_fut_cost,x_haz_today,x_haz_fut,ben_aai_Assets,ben_aai_People,bcr_aai_Assets,bcr_aai_People,npv_aai_Assets,npv_aai_People,ben_rp250_Assets,ben_rp250_People,bcr_rp250_Assets,bcr_rp250_People,npv_rp250_Assets,npv_rp250_People,cost_Assets,cost_People,approv,feas
Green Spaces,river_flood,RF,1.16875,1.1009990169249582,1.28125,2.40625,47109.93555301256,79.86695758648877,0.02805166443157754,4.7556870267124596e-05,196433350.3658655,422502.5237033624,3.938463868729178e-07,3.6370464980971287e-10,2.3451627671441085e-13,2.1656834527369804e-16,2025404916.3157618,4186360.728968254,1525341.0,1525341.0,2,0.019159816131060436
Green Spaces,river_flood,RF,1.2,1.0,2.5,2.5,20510.69473812591,63.84118644245934,0.013446629139402868,4.1853714312051756e-05,198933843.07162938,427341.75684721745,3.938463868729178e-07,3.6370464980971287e-10,2.5820219011546785e-13,2.384415352434065e-16,2058987675.29177,4251426.857583855,1525341.0,1525341.0,2,0.019159816131060436
Green Spaces,river_flood,RF,1.66875,1.0402250065321725,1.28125,2.40625,61203.674468140765,98.2282910505304,0.038572986282800516,6.190737004274746e-05,222825830.13472196,473147.49837458826,-9.277395502244955e-08,0.0,-5.846983086521876e-14,0.0,2562729059.9318914,5227418.786817872,1525341.0,1525341.0,2,0.019159816131060436
Green Spaces,river_flood,RF,1.66875,1.1009990169249582,1.84375,2.59375,47696.16481921491,106.85279987060872,0.0284007353114766,6.362562059062617e-05,223509161.17444736,474366.4058790738,-9.277395502244955e-08,0.0,-5.52423564950855e-14,0.0,2562729059.9318914,5227418.786817872,1525341.0,1525341.0,2,0.019159816131060436
Insurance,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.40625,44983675.41973613,,0.9515889582950142,,151496784.8816824,,186580481.97421336,,0.9878831608511934,,1838824434.341549,,2200000.0,2200000.0,3,0.2610223346796383
Insurance,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.59375,44983675.419736125,,0.9515889582950141,,151537201.33246624,,186580481.97421336,,0.9878831608511934,,1838824434.341549,,2200000.0,2200000.0,3,0.2610223346796383
Insurance,river_flood,RF,1.16875,1.0402250065321725,1.84375,2.40625,44983675.4197361,,0.9515889582950137,,151937605.57017577,,186580481.97421336,,0.9878831608511934,,1838824434.341549,,2200000.0,2200000.0,3,0.2610223346796383
Insurance,river_flood,RF,1.16875,1.1009990169249582,1.28125,2.40625,44983675.41973613,,0.9489051108898476,,151496784.8816824,,186580481.97421336,,0.9871843201395298,,1838824434.341549,,2200000.0,2200000.0,3,0.2610223346796383
Insurance,river_flood,RF,1.2,1.0,2.5,2.5,44983675.41973622,,0.953373704349457,,153970678.3466313,,186580481.97421336,,0.9883462528700394,,1872407193.317557,,2200000.0,2200000.0,3,0.2610223346796383
Insurance,river_flood,RF,1.66875,1.0402250065321725,1.28125,2.40625,44983675.41973616,,0.9515889582950149,,177903358.38945395,,186580481.97421277,,0.9878831608511901,,2376148577.957679,,2200000.0,2200000.0,3,0.2610223346796383
Insurance,river_flood,RF,1.66875,1.1009990169249582,1.84375,2.59375,44983675.41973614,,0.9489051108898479,,178573181.91953042,,186580481.97421277,,0.9871843201395266,,2376148577.957679,,2200000.0,2200000.0,3,0.2610223346796383
Mobile flood embankments,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.40625,29639433.580721222,63666.292512281034,16.57353680729243,0.035600398349800735,166841026.72069728,358916.09814866784,303810737.4473643,627954.1093452385,169.882411073121,0.3511342588980272,1721594178.868398,3558406.6196230156,1719204.0,1719204.0,3,0.6248163296225655
Mobile flood embankments,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.59375,29618169.202247668,63644.216301950095,16.56164636551473,0.03558805395450421,166902707.54995468,359071.66774175654,303810737.4473643,627954.1093452385,169.882411073121,0.3511342588980272,1721594178.868398,3558406.6196230156,1719204.0,1719204.0,3,0.6248163296225655
Mobile flood embankments,river_flood,RF,1.16875,1.0402250065321725,1.84375,2.40625,29692593.104348816,63835.659669216024,16.60326211628326,0.03569510369569622,167228687.88556308,359512.9677854126,303810737.4473643,627954.1093452385,169.882411073121,0.3511342588980272,1721594178.868398,3558406.6196230156,1719204.0,1719204.0,3,0.6248163296225655
Mobile flood embankments,river_flood,RF,1.16875,1.1009990169249582,1.28125,2.40625,29639433.580721222,63666.292512281034,15.658694666029868,0.033635293071740735,166841026.72069728,358916.09814866784,303810737.4473643,627954.1093452385,160.50507716328238,0.33175200989372466,1721594178.868398,3558406.6196230156,1719204.0,1719204.0,3,0.6248163296225655
Mobile flood embankments,river_flood,RF,1.2,1.0,2.5,2.5,29934786.37109179,64353.12737338381,17.412003677918264,0.03743193208798014,169019567.3952757,363052.4706602761,308848151.29376566,637714.0286375782,179.64601716478418,0.3709356356997647,1750139523.998005,3613712.828946277,1719204.0,1719204.0,3,0.6248163296225655
Mobile flood embankments,river_flood,RF,1.66875,1.0402250065321725,1.28125,2.40625,33647755.95542011,71325.1365151594,18.81487783129149,0.03988300829365536,189239277.85377,401920.5901504794,384409358.9897835,784112.8180226808,214.95089111381864,0.4384538123907181,2178319700.942108,4443305.9687951915,1719204.0,1719204.0,3,0.6248163296225655
