measure,hazard,haz_type,x_ent,m_fut_cost,x_haz_today,x_haz_fut,ben_aai_Assets,bcr_aai_Assets,npv_aai_Assets,ben_rp250_Assets,bcr_rp250_Assets,npv_rp250_Assets,cost_Assets,approv,feas
Beach nourishment,TCs,TC,0.74296875,0.8433311413931587,3.58984375,2.88671875,3880015410.114651,2.662512005131806,172086945594.45486,-0.00023719895679091574,-1.6276870148871187e-13,4280885185668.008,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.74296875,0.8433311413931587,3.58984375,3.23828125,2135315056.7369895,1.4652781941226727,174873667866.54572,-0.00023719895679091574,-1.6276870148871187e-13,4280885185668.008,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.74296875,0.8496897056870726,3.58984375,2.88671875,3880015410.114651,2.642587374228742,172086945594.45486,-0.00023719895679091574,-1.6155063888712258e-13,4280885185668.008,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.75078125,0.923674695626743,1.17578125,3.47265625,586470271.1412739,0.3674372802767773,92047892765.9142,36875273955.85724,23.103217739296763,2175801749585.9548,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.75078125,0.923674695626743,3.19140625,2.37109375,5192466240.291917,3.253201001218786,156919886807.93332,9.500052994298834e-05,5.952004400696307e-14,4303839574065.7417,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.75078125,0.923674695626743,3.19140625,3.47265625,2946621443.1703157,1.846126943445568,167781171305.54785,9.500052994298834e-05,5.952004400696307e-14,4303839574065.7417,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.75078125,0.9522228011096114,3.66015625,2.25390625,4740742817.519599,2.88113813658776,162637103520.23895,9.500052994298834e-05,5.773560396554028e-14,4303839574065.7417,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.75078125,0.9671042087359509,1.08203125,1.71484375,4057086765.9212093,2.427712666822775,57691108156.41266,22241220424.999,13.308882867607892,2146314014045.6055,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.75078125,1.076325304373257,3.19140625,3.47265625,2946621443.1703157,1.5842986647687916,167781171305.54785,9.500052994298834e-05,5.1078571049516566e-14,4303839574065.7417,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.75859375,0.8658282158919746,3.12109375,3.73046875,3244814830.914574,2.168774736162276,166905862616.35852,-0.00023719895679091574,-1.5853943344655797e-13,4326793962463.4746,1728000000.0,2,0.15935113630024111
